VIE001 - Au Vieux Duluth Express - Promenades Drummondville;Au Vieux Duluth Express;755, boulevard Rene-Levesque, Food Court;Drummondville;
VIE004 - Au Vieux Duluth Express - Place du Royaume;Au Vieux Duluth Express;1401, boul. Talbot;Chicoutimi;
VIE008 - Au Vieux Duluth Express - Montreal Eaton Centre;Au Vieux Duluth Express;705 rue Ste-Catherine Ouest;Montreal;
VIE009 - Au Vieux Duluth Express - Galeries Chagnon;Au Vieux Duluth Express;1200, boul. Alphonse-Desjardins;Lévis;
VIE012 - Au Vieux Duluth Express - Galeries de la Capitale, 1er étage;Au Vieux Duluth Express;5401 boul. des Galeries;Quebec;
VIE013 - Au Vieux Duluth Express - Carrefour de l'Estrie;Au Vieux Duluth Express;3050, Portland Boulevard;Sherbrooke;
VIE017 - Au Vieux Duluth Express - Galeries Rive-Nord;Au Vieux Duluth Express;100, Boul. Brien;Repentigny;
VIE018 - Au Vieux Duluth Express - Place Fleur de Lys;Au Vieux Duluth Express;552, boul. Wilfrid-Hamel;Quebec;
BRG0484 - Baton Rouge - LAVAL;Baton Rouge;3035, boul. le Carrefour;LAVAL;
BRG0485 - Baton Rouge - COMPLEXE DESJARDINS - 4;Baton Rouge;180, rue Ste-Catherine West;MONTREAL;
BRG0486 - Baton Rouge - DOLLARDS-DES-ORMEAUX;Baton Rouge;3839, boul. St-Jean;WEST ISLAND;
BRG0487 - Baton Rouge - GREENFIELD PARK - 4;Baton Rouge;4890, boul. Taschereau;TASCHEREAU;
BRG0488 - Baton Rouge - ANJOU - 4;Baton Rouge;7999, boul. les Galeries D'Anjou;VILLE D'ANJOU;
BRG0490 - Baton Rouge - STE-FOY - 4;Baton Rouge;2450, boul Laurier;STE-FOY;
BRG0491 - Baton Rouge - VAUGHAN;Baton Rouge;7520 Weston Road;VAUGHAN;
BRG0492 - Baton Rouge - KANATA - 4;Baton Rouge;790 Earl Grey Drive, Unit M3;KANATA;
BRG0493 - Baton Rouge - DÉCARIE;Baton Rouge;5385, rue des Jockeys;MONTREAL;
BRG0494 - Baton Rouge - THORNHILL;Baton Rouge;230 Commerce Valley Dr. E. #7;THORNHILL;
BRG0495 - Baton Rouge - DE LA MONTAGNE;Baton Rouge;1050, rue de la Montagne;MONTREAL;
BRG0496 - Baton Rouge - BOUCHERVILLE - 4;Baton Rouge;582, chemain de Touraine, suite 900;BOUCHERVILLE;
BRG0497 - Baton Rouge - NORTH YORK;Baton Rouge;5000 Yonge Street Unit 102;TORONTO;
BRG0499 - Baton Rouge - OTTAWA -4;Baton Rouge;360 Albert Street;OTTAWA;
BRG0500 - Baton Rouge - LACHENAIE;Baton Rouge;1400, rue Yves-Blais;LACHENAIE;
BRG0501 - Baton Rouge - BOISBRIAND;Baton Rouge;3370, ave des Grandes Tourelles;BOISBRIAND;
BRG0540 - Baton Rouge - OAKVILLE;Baton Rouge;2005 Winston Park Drive;Oakville;
BRG0546 - Baton Rouge - SHERBROOKE;Baton Rouge;2844 rue King Ouest;SHERBROOKE;
BRG0549 - Baton Rouge - GALERIES DE LA CAPITALE - 4;Baton Rouge;1875, rue Bouvier;Quebec;
BRG0550 - Baton Rouge - VAUDREUIL-DORION;Baton Rouge;3130 Boul de la Gare;VAUDREUIL-DORION;
BRG0552 - Baton Rouge - HULL - 4;Baton Rouge;350, Boul. St-Joseph;Gatineau-Hull;
